id_no;start;end;today;simserial;subscriberid;deviceid;location;_location_latitude;_location_longitude;_location_altitude;_location_precision;region_name;district_name;ward_name;subward_name;photo_before;photo_during;photo_after;acessibility;no_reasons;yes_no;weather;sediment;vegetation_cover;site;photo_north;photo_east;photo_south;photo_west;additional_observation;_id;_uuid;_submission_time;_validation_status;_index;sample_id;field_sampler_names;field_sampler_names_other;date_collected;tester_name;tester_name_other;date_analysis;weigh_sieves_top;mass_4_75_sieve_top;mass_2_36_sieve_top;mass_1_18_sieve_top;mass_0_6_sieve_top;mass_0_425_sieve_top;mass_0_3_sieve_top;mass_0_15_sieve_top;mass_0_075_sieve_top;mass_bottom_pan_top;top_sample_note;mass_beginning_top;mass_4_75_top;mass_4_75_top_soil_retained;mass_4_75_top_soil_retained_note;mass_2_36_top;mass_2_36_top_soil_retained;mass_2_36_top_soil_retained_note;mass_1_18_top;mass_1_18_top_soil_retained;mass_1_18_top_soil_retained_note;mass_0_6_top;mass_0_6_top_soil_retained;mass_0_6_top_soil_retained_note;mass_0_425_top;mass_0_425_top_soil_retained;mass_0_425_top_soil_retained_note;mass_0_3_top;mass_0_3_top_soil_retained;mass_0_3_top_soil_retained_note;mass_0_15_top;mass_0_15_top_soil_retained;mass_0_15_top_soil_retained_note;mass_0_075_top;mass_0_075_top_soil_retained;mass_0_075_top_soil_retained_note;mass_0_top;mass_0_top_soil_retained;mass_0_top_soil_retained_note;mass_soil_top;mass_soil_top_note;mass_loss_top_sample;percentage_mass_loss_top_sample;mass_loss_top_sample_note;weigh_sieves_bottom;mass_4_75_sieve_bottom;mass_2_36_sieve_bottom;mass_1_18_sieve_bottom;mass_0_6_sieve_bottom;mass_0_425_sieve_bottom;mass_0_3_sieve_bottom;mass_0_15_sieve_bottom;mass_0_075_sieve_bottom;mass_bottom_pan_bottom;bottom_sample_note;mass_beginning_bottom;mass_4_75_bottom;mass_4_75_bottom_soil_retained;mass_4_75_bottom_soil_retained_note;mass_2_36_bottom;mass_2_36_bottom_soil_retained;mass_2_36_bottom_soil_retained_note;mass_1_18_bottom;mass_1_18_bottom_soil_retained;mass_1_18_bottom_soil_retained_note;mass_0_6_bottom;mass_0_6_bottom_soil_retained;mass_0_6_bottom_soil_retained_note;mass_0_425_bottom;mass_0_425_bottom_soil_retained;mass_0_425_bottom_soil_retained_note;mass_0_3_bottom;mass_0_3_bottom_soil_retained;mass_0_3_bottom_soil_retained_note;mass_0_15_bottom;mass_0_15_bottom_soil_retained;mass_0_15_bottom_soil_retained_note;mass_0_075_bottom;mass_0_075_bottom_soil_retained;mass_0_075_bottom_soil_retained_note;mass_0_bottom;mass_0_bottom_soil_retained;mass_0_bottom_soil_retained_note;mass_soil_bottom;mass_soil_bottom_note;mass_loss_bottom_sample;percentage_mass_loss_bottom_sample;mass_loss_bottom_sample_note;_id;_uuid;_submission_time;_validation_status;_index
476;2018-11-14T13:27:02.095+03;2018-11-14T13:38:24.901+03;2018-11-14;8.92550441073634E+018;640044173634530;354511091457182;-6.87675813018285 39.35031831264496 0.0 0.0;-6.8767581302;39.3503183126;0;0;dar_es_salaam;kigamboni;Kibada;Ungindoni;1542191833649.jpg;1542191841747.jpg;1542191864325.jpg;yes;;no;dry;loose;medium;urban;1542191882031.jpg;1542191887971.jpg;1542191894657.jpg;1542191900519.jpg;;276;8cc0897e-5f8d-4a5d-ad00-e13f13e4f282;2018-11-15T05:11:53;;203;476;other;Baraka and Anna;2018-11-15;other;Sia Saronga and Abubakari Rajab;2018-12-08;;513;492;488;495;461;451;437;350;371;;500;513;0;;495;3;;504;16;;609;114;;572;111;;564;113;;541;104;;373;23;;377;6;;490;;10;0.02;;;516;500;518;494;498;463;443;350;372;;500;518;2;;505;5;;541;23;;608;114;;620;122;;600;137;;515;72;;363;13;;378;6;;494;;6;0.012;;1124;d43d48e7-b019-49bb-be9e-a69a68f824ae;2018-12-10T11:02:27;;426
477;2018-11-14T14:51:06.553+03;2018-11-14T14:59:33.905+03;2018-11-14;8.92550441073634E+018;640044173634530;354511091457182;-6.8765477599946365 39.368407130241394 0.0 0.0;-6.87654776;39.3684071302;0;0;dar_es_salaam;kigamboni;Kibada;Shule;1542196694586.jpg;1542196702448.jpg;1542196711027.jpg;yes;;no;dry;loose;medium;urban;1542196736598.jpg;1542196745288.jpg;1542196759942.jpg;1542196771439.jpg;;277;d54113bc-3f6a-48cd-9ed8-0df41f72ae4d;2018-11-15T05:12:30;;204;477;other;Baraka and Anna;2018-11-15;other;Sia Saronga and Abubakari Rajab;2018-12-08;;513;492;488;495;461;451;437;350;371;;500;515;2;;494;2;;500;12;;605;110;;574;113;;562;111;;540;103;;369;19;;380;9;;481;;19;0.038;;;516;500;518;494;498;463;443;350;372;;500;516;0;;510;10;;540;22;;607;113;;621;123;;605;142;;514;71;;361;11;;375;3;;495;;5;0.01;;1125;8b3fa155-7745-41d0-b531-e7fb7be27acd;2018-12-10T11:02:28;;427
438;2018-11-14T17:30:54.442+03;2018-11-14T17:44:08.105+03;2018-11-14;8.92550506039852E+018;640050639852309;353614091318981;-6.894868333333333 39.26003 26.4 1.8;-6.8948683333;39.26003;26.4;1.8;dar_es_salaam;temeke;Mbagala;Mamboto street;1542206238071.jpg;1542206117943.jpg;1542206094150.jpg;yes;;yes;dry;loose;low;urban;1542205951306.jpg;1542206013333.jpg;1542206038334.jpg;;;285;8d3d34d9-aad0-4c8f-9c09-4bb970cb8b36;2018-11-15T06:13:52;;205;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
504;2018-11-14T10:22:13.094+03;2018-11-15T11:02:41.660+03;2018-11-14;8925505060408245409f;640050640824540;353147082684707;-6.856920000000001 39.277305 28.6 3.6;-6.85692;39.277305;28.6;3.6;dar_es_salaam;ilala;Kurasini;Uhasibu;1542268925808.jpg;1542268940763.jpg;1542260826224.jpg;yes;;no;dry;loose;low;urban;1542180360163.jpg;1542180384299.jpg;1542180396387.jpg;1542180408193.jpg;;286;440919b3-d4b6-4470-ba2c-970debba8cc0;2018-11-15T08:11:53;;206;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
439;2018-11-14T12:38:01.043+03;2018-11-15T11:11:09.278+03;2018-11-14;8925505060408245409f;640050640824540;353147082684707;-6.896591093204535 39.27984595298767 0.0 0.0;-6.8965910932;39.279845953;0;0;dar_es_salaam;ilala;Mbagala;Mwanamtoti street;1542188440260.jpg;;;yes;;yes;dry;loose;low;urban;1542188465025.jpg;1542188477649.jpg;1542188491276.jpg;1542188511375.jpg;;287;97b6b18b-d354-4ba0-9f5a-d7f448e0fa8c;2018-11-15T08:16:27;;207;439;Rebeca_Ramadhani;;2018-11-14;Sia_Wilfred;;2018-11-22;;513;492;494;495;461;452;437;351;371;;500;520;7;;544;52;;530;36;;600;105;;602;141;;514;62;;494;57;;380;29;;379;8;;497;;3;0.006;;;517;500;518;493;493;463;443;350;372;;500;517;0;;555;55;;576;58;;617;124;;557;64;;565;102;;490;47;;388;38;;381;9;;497;;3;0.006;;483;1bb531fd-8a8e-41da-8017-5c4fe5153d1c;2018-11-26T09:47:59;;139
374;2018-11-15T13:56:41.543+03;2018-11-15T13:59:00.033+03;2018-11-15;8.92550441085121E+018;640044185121424;358808088495803;-6.931118333333334 39.259948333333334 79.2 2.2;-6.9311183333;39.2599483333;79.2;2.2;dar_es_salaam;temeke;Charambe;Njia panda ya nzasa;1542279466077.jpg;;;yes;;no;dry;loose;low;urban;1542279501879.jpg;1542279509993.jpg;1542279518169.jpg;1542279527748.jpg;No;288;13c2e8c8-27ce-4b32-a46e-bf04bc659aea;2018-11-15T12:26:19;;208;374;other;Frank and Massawe;2018-11-23;Sia_Wilfred;;2018-11-30;;513;492;488;495;461;451;437;350;371;;500;513;0;;494;2;;500;12;;592;97;;580;119;;593;142;;543;106;;367;17;;376;5;;500;;0;0;;;516;500;518;494;493;463;443;350;372;;500;519;3;;503;3;;529;11;;587;93;;597;104;;554;91;;579;136;;399;49;;375;3;;493;;7;0.014;;723;a9f6c52f-36b0-4593-b53f-0cf1fe4e504e;2018-11-30T13:47:52;;234
375;2018-11-15T14:37:47.077+03;2018-11-15T14:40:29.949+03;2018-11-15;8.92550441085121E+018;640044185121424;358808088495803;-6.9314350000000005 39.276050000000005 17.4 3.2;-6.931435;39.27605;17.4;3.2;dar_es_salaam;temeke;Toangoma;Mzinga;1542281923223.jpg;;;no;Point dropped in the vegetation field;yes;dry;loose;medium;urban;1542281990950.jpg;1542282005941.jpg;1542282014730.jpg;1542282022076.jpg;No;289;720f95c3-086e-4d86-b9ea-f77fcddb1bfa;2018-11-15T12:59:11;;209;375;Deogratius_Salome;;2018-11-15;Sia_Wilfred;;2018-11-27;;513;492;494;495;461;452;437;351;371;;500;519;6;;502;10;;527;33;;636;141;;570;109;;544;92;;513;76;;371;20;;378;7;;494;;6;0.012;;;517;500;518;493;493;463;443;350;372;;500;533;16;;527;27;;570;52;;741;248;;592;99;;502;39;;457;14;;351;1;;373;1;;497;;3;0.006;;532;7d909bfa-0327-476f-a402-8974395966c3;2018-11-27T07:38:48;;150
343;2018-11-15T15:09:51.557+03;2018-11-15T15:11:42.044+03;2018-11-15;8.92550441085121E+018;640044185121424;358808088495803;-6.949343333333333 39.27801833333333 10.6 2.5;-6.9493433333;39.2780183333;10.6;2.5;dar_es_salaam;temeke;Toangoma;Kanisani;1542283846003.jpg;;;yes;;no;dry;loose;low;urban;1542283868126.jpg;1542283876769.jpg;1542283886476.jpg;1542283894783.jpg;No;290;bc9a9eb9-f3ff-454b-a8af-a432526d6d91;2018-11-15T13:01:26;;210;343;Deogratius_Salome;;2018-11-15;Sia_Wilfred;;2018-11-30;;513;492;488;495;461;451;437;350;371;;500;517;4;;502;10;;536;48;;700;205;;549;88;;478;27;;441;4;;351;1;;371;0;;387;;113;0.226;;;516;500;518;494;493;463;443;350;372;;500;523;7;;528;28;;575;57;;798;304;;524;31;;500;37;;501;58;;318;-32;;373;1;;491;;9;0.018;;715;6e057397-95bd-4557-8680-e7d3b9ac0782;2018-11-30T13:47:39;;226
368;2018-11-15T13:38:51.293+03;2018-11-15T13:49:19.093+03;2018-11-15;8.92550204139952E+018;640021071951801;353614096259289;-6.930646666666666 39.151740000000004 52.5 1.6;-6.9306466667;39.15174;52.5;1.6;dar_es_salaam;ilala;Kivule;Rada chuo;1542278666652.jpg;1542278676480.jpg;1542278789215.jpg;yes;;no;dry;loose;medium;urban;1542278873325.jpg;1542278881768.jpg;1542278930668.jpg;1542278904905.jpg;;291;f5fa521c-4e21-496d-aef6-2b4cf782ca5e;2018-11-15T13:36:06;;211;368;Swaumu_Nuru;;2018-11-15;Sia_Wilfred;;2018-11-22;;513;492;494;495;461;452;437;351;371;;500;518;5;;499;7;;507;13;;588;93;;552;91;;563;111;;578;141;;381;30;;378;7;;498;;2;0.004;;;517;500;518;493;493;463;443;350;372;;500;529;12;;508;8;;544;26;;622;129;;638;145;;566;103;;508;65;;360;10;;374;2;;500;;0;0;;468;11ea768f-234d-4afd-a5a4-189f7e6fd18a;2018-11-26T09:07:29;;124
369;2018-11-15T14:03:45.177+03;2018-11-15T14:13:05.517+03;2018-11-15;8.92550204139952E+018;640021071951801;353614096259289;-6.9310633333333325 39.16969166666667 43.2 2.7;-6.9310633333;39.1696916667;43.2;2.7;dar_es_salaam;ilala;Kivule;Bomba mbili mwanzo mgumu;1542280277180.jpg;1542280175539.jpg;1542280191924.jpg;yes;;no;dry;loose;medium;urban;1542280294771.jpg;1542280308198.jpg;1542280318203.jpg;1542280333941.jpg;;292;d133c9e0-6d1b-403b-b03f-ebab93476624;2018-11-15T13:37:10;;212;369;other;Frank Majaliwa;2019-01-20;other;Sia Saronga and Abubakari Rajab;2019-01-26;;513;492;494;495;461;452;437;351;371;;500;517;4;;503;11;;515;21;;596;101;;551;90;;527;75;;493;56;;369;18;;375;4;;380;;120;0.24;;;517;500;518;493;493;463;443;350;372;;500;519;2;;511;11;;555;37;;620;127;;605;112;;554;91;;545;102;;367;17;;372;0;;499;;1;0.002;;1430;ed460beb-4b7b-472c-9534-4f740dfbda04;2019-01-30T11:47:39;;680
367;2018-11-14T15:47:28.549+03;2018-11-15T15:32:19.017+03;2018-11-14;8925505060408245409f;640050640824540;353147082684707;-6.926011666666667 39.14212333333333 61.6 4.0;-6.9260116667;39.1421233333;61.6;4;dar_es_salaam;ilala;Majohe;Mchangani;1542279205706.jpg;1542279732614.jpg;1542279744830.jpg;yes;;yes;dry;loose;low;urban;1542279257508.jpg;1542279273612.jpg;1542279304530.jpg;1542279775883.jpg;;293;ac17f308-79cb-4cdf-9704-4fa55f803074;2018-11-15T19:56:27;;213;367;other;Frank;2019-01-19;other;Sia Saronga and Abubakari Rajab;2019-01-28;;513;492;494;495;461;452;437;351;371;;500;525;12;;530;38;;536;42;;612;117;;586;125;;515;63;;469;32;;356;5;;371;0;;434;;66;0.132;;;517;500;518;493;493;463;443;350;372;;500;525;8;;526;26;;565;47;;613;120;;616;123;;548;85;;506;63;;367;17;;373;1;;490;;10;0.02;;1448;5feee2b5-74ff-48dc-9fc8-c8a255e2497f;2019-01-30T11:53:31;;698
366;2018-11-15T13:59:03.714+03;2018-11-15T14:34:02.243+03;2018-11-15;8925505060408245409f;640050640824540;353147082684707;-6.931006666666667 39.11542833333333 81.7 3.0;-6.9310066667;39.1154283333;81.7;3;dar_es_salaam;ilala;Pugu;Kinyamwezi;1542281499512.jpg;1542281510885.jpg;1542281540211.jpg;yes;;no;dry;loose;low;urban;1542281557922.jpg;1542281568075.jpg;1542281579159.jpg;1542281605372.jpg;;294;033015a2-2438-46e4-a368-34ee27a70b58;2018-11-15T19:57:41;;214;366;Rebeca_Ramadhani;;2018-11-15;Sia_Wilfred;;2018-11-19;;513;492;494;495;461;452;437;351;371;;500;515;2;;496;4;;503;9;;559;64;;564;103;;600;148;;573;136;;375;24;;380;9;;499;;1;0.002;;;571;500;518;493;493;463;443;350;372;;500;517;-54;;511;11;;529;11;;556;63;;602;109;;631;168;;590;147;;377;27;;381;9;;491;;9;0.018;;465;438d440c-ad58-484d-b545-cbf1b68ffe27;2018-11-26T09:02:27;;121
365;2018-11-15T15:26:28.681+03;2018-11-15T15:32:59.407+03;2018-11-15;8925505060408245409f;640050640824540;353147082684707;-6.928623333333333 39.10063 136.0 3.0;-6.9286233333;39.10063;136;3;dar_es_salaam;ilala;Pugu;Mwakanga;1542284851527.jpg;1542284889885.jpg;1542285171920.jpg;yes;;yes;dry;loose;low;urban;1542284917711.jpg;1542284935217.jpg;1542284954263.jpg;1542284978795.jpg;The sample is on the railwaystation;295;09da2728-4ea4-4f26-97d2-8532a7cf5c12;2018-11-15T19:59:02;;215;365;Rebeca_Ramadhani;;2018-11-15;Sia_Wilfred;;2018-11-26;;513;492;494;495;461;452;437;351;371;;500;521;8;;534;42;;560;66;;561;66;;545;84;;594;142;;483;46;;386;35;;380;9;;498;;2;0.004;;;517;500;518;493;493;463;443;350;372;;500;534;17;;517;17;;553;35;;571;78;;585;92;;564;101;;557;114;;378;28;;381;9;;491;;9;0.018;;489;2a560578-a3aa-49b0-ad90-aa89087440a9;2018-11-26T12:42:32;;141
376;2018-11-15T12:04:05.129+03;2018-11-15T12:13:14.057+03;2018-11-15;8.92550441073634E+018;640044173634530;354511091457182;-6.931049156653074 39.29579973220825 0.0 0.0;-6.9310491567;39.2957997322;0;0;dar_es_salaam;temeke;Kongowe;Tanita;1542273081838.jpg;1542273108743.jpg;1542273138004.jpg;yes;;no;dry;loose;medium;urban;1542273163835.jpg;;1542273179082.jpg;1542273190283.jpg;;296;9a37f7a1-7825-427e-94d2-2e4717b5e390;2018-11-15T20:19:49;;216;376;other;Baraka and Anna;2018-11-16;other;Sia Saronga and Abubakari Rajab;2018-12-08;;513;492;488;495;461;451;437;350;371;;500;521;8;;495;3;;502;14;;605;110;;571;110;;561;110;;516;79;;368;18;;380;9;;461;;39;0.078;;;516;500;518;494;498;463;443;350;372;;500;518;2;;511;11;;534;16;;600;106;;620;122;;604;141;;511;68;;379;29;;377;5;;500;;0;0;;1126;696105d8-cdc0-4abe-ab7b-2ca1c95face2;2018-12-10T11:02:30;;428
377;2018-11-15T14:13:07.156+03;2018-11-15T14:22:18.378+03;2018-11-15;8.92550441073634E+018;640044173634530;354511091457182;-6.931022530575518 39.31423991918564 0.0 0.0;-6.9310225306;39.3142399192;0;0;dar_es_salaam;temeke;Toangoma;Malale;1542280668216.jpg;1542280715205.jpg;1542280735944.jpg;yes;;no;dry;loose;medium;urban;1542280790421.jpg;1542280830093.jpg;1542280911164.jpg;1542280933562.jpg;;297;54972e1f-33aa-45e8-ae32-fa55eca06fac;2018-11-15T20:20:15;;217;377;other;Baraka and Anna;2018-11-16;other;Sia Saronga and Abubakari Rajab;2018-12-08;;513;492;488;495;461;451;437;350;371;;500;520;7;;493;1;;510;22;;607;112;;570;109;;562;111;;515;78;;355;5;;377;6;;451;;49;0.098;;;516;500;518;494;498;463;443;350;372;;500;518;2;;507;7;;532;14;;608;114;;617;119;;555;92;;589;146;;352;2;;376;4;;500;;0;0;;1127;b0f5fa06-73f3-408c-9545-db00013495e8;2018-12-10T11:02:31;;429
378;2018-11-15T14:23:44.387+03;2018-11-15T15:11:44.584+03;2018-11-15;8.92550441073634E+018;640044173634530;354511091457182;-6.931115721840399 39.332269728183746 0.0 0.0;-6.9311157218;39.3322697282;0;0;dar_es_salaam;temeke;Toangoma;Mjema;1542283785901.jpg;1542283793003.jpg;1542283803616.jpg;yes;;yes;wet;consolidated;high;urban;1542283835524.jpg;1542283841433.jpg;1542283846959.jpg;1542283853722.jpg;;298;b6372dbc-c7ad-4a77-9452-47d90cb2f693;2018-11-15T20:20:31;;218;378;other;Baraka and Anna;2018-11-16;other;Sia Saronga and Abubakari Rajab;2018-11-08;;513;492;488;495;461;451;437;350;371;;500;519;6;;495;3;;507;19;;601;106;;600;139;;536;85;;562;125;;358;8;;376;5;;496;;4;0.008;;;516;500;518;494;498;463;443;350;372;;500;571;55;;503;3;;530;12;;602;108;;611;113;;552;89;;522;79;;374;24;;381;9;;492;;8;0.016;;1128;29869717-d7d1-4987-b995-34454eaf907e;2018-12-10T11:02:33;;430
373;2018-11-15T16:16:34.951+03;2018-11-16T12:24:20.741+03;2018-11-16;8.92550204162823E+018;640021094823433;355938094481142;-6.931668333333333 39.24231333333333 65.0 1.2;-6.9316683333;39.2423133333;65;1.2;dar_es_salaam;temeke;Mbagala maji matitu;Mbagala maji matitu;1542360062660.jpg;1542360185120.jpg;1542360200809.jpg;yes;;yes;dry;loose;low;urban;1542360220244.jpg;1542360227381.jpg;1542360235837.jpg;1542360244639.jpg;;299;2924bac8-9dd2-4f52-b628-5511f404801c;2018-11-16T10:38:05;;219;373;other;Salome Kijimbo;2019-01-19;other;Sia and Abubakar;2019-01-26;;513;492;494;495;461;452;437;351;371;;500;513;0;;502;10;;522;28;;634;139;;601;140;;534;82;;521;84;;364;13;;375;4;;500;;0;0;;;517;500;518;493;493;463;443;350;372;;500;525;8;;509;9;;531;13;;619;126;;646;153;;560;97;;517;74;;363;13;;376;4;;497;;3;0.006;;1463;41eea45f-8eec-4b9d-ad97-9aa1f3111846;2019-01-30T12:07:48;;713
371;2018-11-15T13:53:11.606+03;2018-11-15T14:50:47.353+03;2018-11-15;8.92550204162823E+018;640021094823433;355938094481142;-6.930527285258819 39.205870628356934 0.0 0.0;-6.9305272853;39.2058706284;0;0;dar_es_salaam;temeke;Mwanagati;Mwanagati;1542282497351.jpg;1542282517856.jpg;1542282583163.jpg;yes;;yes;dry;loose;medium;urban;1542282613416.jpg;1542282629279.jpg;1542282641458.jpg;;;300;ade83318-7dff-42d3-87f0-edd1689e4652;2018-11-16T10:40:04;;220;371;Frank_Kupaza;;2018-11-15;Sia_Wilfred;;2018-11-26;;513;492;494;495;461;452;437;351;371;;500;525;12;;531;39;;563;69;;568;73;;540;79;;593;141;;482;45;;384;33;;379;8;;499;;1;0.002;;;517;500;518;493;493;463;443;350;372;;500;530;13;;524;24;;555;37;;563;70;;587;94;;565;102;;559;116;;377;27;;380;8;;491;;9;0.018;;490;a224e928-5bbb-4261-8039-f7ee60251a3f;2018-11-26T12:42:34;;142
614;2018-11-14T16:20:20.674+03;2018-11-15T09:09:17.141+03;2018-11-14;8.92550204162823E+018;640021094823433;355938094481142;-6.768321666666666 39.238571666666665 28.2 2.5;-6.7683216667;39.2385716667;28.2;2.5;dar_es_salaam;kinondoni;Mikocheni;Mikocheni;1542261162120.jpg;;;yes;;yes;dry;loose;low;urban;1542261253747.jpg;1542261284224.jpg;1542261319576.jpg;1542262126375.jpg;;301;df0d21c4-77e3-4512-a42e-cdd2e7125243;2018-11-16T11:11:02;;221;614;Deogratius_Salome;;2018-10-11;other;Salehe Hamisi ;2018-10-12;;512;492;490;495;462;462;437;451;372;;510;578;66;;530;38;;531;41;;583;88;;543;81;;531;69;;525;88;;372;-79;;377;5;;397;;113;0.2215686275;;;512;492;490;495;462;462;437;351;372;;513;611;99;;568;76;;592;102;;595;100;;549;87;;523;61;;488;51;;358;7;;372;0;;583;;-70;-0.1364522417;;94;050856b9-b174-448a-9937-6f93c1ea44ef;2018-11-07T08:11:09;;2
372;2018-11-15T13:45:18.643+03;2018-11-15T13:50:13.934+03;2018-11-15;8.92550204162823E+018;640021094823433;355938094481142;-6.930579999999999 39.223683333333334 47.6 1.7;-6.93058;39.2236833333;47.6;1.7;dar_es_salaam;ilala;Mbagala maji matitu;Maji matitu;1542278793930.jpg;;;yes;;yes;dry;loose;medium;urban;1542278827273.jpg;1542278836965.jpg;1542278845860.jpg;1542278855044.jpg;A point is located at the river bank through which wastes are dumped;302;a5de8d84-9e87-4f7d-86ad-21c98c7d3db9;2018-11-16T11:12:13;;222;372;Frank_Kupaza;;2018-11-15;Sia_Wilfred;;2018-11-19;;513;492;494;495;461;452;437;351;371;;500;514;1;;594;102;;506;12;;555;60;;560;99;;550;98;;529;92;;372;21;;381;10;;495;;5;0.01;;;517;500;518;518;493;493;463;350;372;;500;518;1;;519;19;;532;14;;564;46;;606;113;;621;128;;578;115;;383;33;;390;18;;487;;13;0.026;;470;c1a35552-d472-4189-a18b-67141c1da8f4;2018-11-26T09:16:28;;126
482;2018-11-15T13:45:07.983+03;2018-11-16T19:50:26.022+03;2018-11-15;8.92550506039852E+018;640050639852309;353614091318981;-6.883652362379863 39.454307556152344 0.0 0.0;-6.8836523624;39.4543075562;0;0;dar_es_salaam;kigamboni;Somangila;Visikini;1542386946936.jpg;1542386981491.jpg;1542387010490.jpg;yes;;yes;wet;loose;low;urban;1542358382242.jpg;1542358390557.jpg;1542358398884.jpg;1542358407062.jpg;;313;f93a89ba-754a-4de0-a36c-81e104bac081;2018-11-16T18:51:32;;223;482;Rebeca_Ramadhani;;2018-11-16;Sia_Wilfred;;2018-11-30;;513;492;488;495;461;451;437;350;371;;500;529;16;;518;26;;541;53;;615;120;;518;57;;455;4;;436;-1;;353;3;;374;3;;281;;219;0.438;;;516;500;518;494;493;463;443;350;372;;500;526;10;;585;85;;551;33;;610;116;;597;104;;515;52;;499;56;;390;40;;373;1;;497;;3;0.006;;731;d7a2f35f-e6e1-4dc5-99c3-3bbbb207ac81;2018-11-30T13:48:05;;242
481;2018-11-16T12:02:20.604+03;2018-11-16T16:56:28.541+03;2018-11-16;8.92550506039852E+018;640050639852309;353614091318981;-6.876710000000001 39.440529999999995 15.6 1.0;-6.87671;39.44053;15.6;1;dar_es_salaam;kigamboni;Somangira;Bamba;1542359022583.jpg;1542359034980.jpg;1542359219068.jpg;yes;;no;dry;loose;low;urban;1542359060759.jpg;1542359071313.jpg;1542359088020.jpg;1542359101283.jpg;;314;f97e59af-9167-49c0-9753-a165f33cee0a;2018-11-16T18:54:53;;224;481;Rebeca_Ramadhani;;2018-11-16;Sia_Wilfred;;2018-11-30;;513;492;488;495;461;451;437;350;371;;500;620;107;;560;68;;548;60;;571;76;;517;56;;522;71;;490;53;;363;13;;379;8;;512;;-12;-0.024;;;516;500;518;494;493;463;443;350;372;;500;572;56;;539;39;;579;61;;575;81;;558;65;;533;70;;514;71;;399;49;;378;6;;498;;2;0.004;;727;d59b6e9f-4916-47de-801d-1c35c1aa2bdf;2018-11-30T13:47:58;;238
478;2018-11-16T16:30:38.219+03;2018-11-16T16:56:37.314+03;2018-11-16;8.92550506039852E+018;640050639852309;353614091318981;-6.876753333333333 39.386721666666666 19.5 2.2;-6.8767533333;39.3867216667;19.5;2.2;dar_es_salaam;kigamboni;Kibada;Kanisani;1542375097570.jpg;1542375119676.jpg;1542375183806.jpg;yes;;no;wet;loose;low;urban;1542375269271.jpg;1542375277197.jpg;1542375285115.jpg;1542375292173.jpg;;315;b9d4a7af-e669-487f-9c42-d23e6bb738c6;2018-11-16T19:01:41;;225;478;Rebeca_Ramadhani;;2018-11-16;Sia_Wilfred;;2018-11-30;;513;492;488;495;461;451;437;350;371;;500;529;16;;598;106;;610;122;;548;53;;463;2;;453;2;;438;1;;351;1;;372;1;;304;;196;0.392;;;516;500;518;494;493;463;443;350;372;;500;519;3;;507;7;;673;155;;680;186;;545;52;;499;36;;497;54;;351;1;;373;1;;495;;5;0.01;;726;76a97e88-dbc1-4ca3-947e-0254ced9feaf;2018-11-30T13:47:57;;237
